,Inf. Norm,Flat RKHS norm,Flat RKHS over Inf.Omega,Tree RKHS norm,Tree RKHS over Inf.Omega
6032,0.02394256374343087,0.030517011935629456,0.7358863171339712,0.02860751853123709,0.689840850037983
6033,0.0051010697611409694,0.006753003191698154,0.7643197198097652,0.0064626980093773065,0.7314623422383211
6034,0.016684670717950885,0.02434391203866853,0.8423878664582957,0.02492231042854813,0.8624025536967171
6035,0.006681542785431661,0.009862940275413764,0.8522539488076412,0.010009768794302109,0.8649413606266202
6036,0.0051849007348250715,0.006454696412016151,0.7187448519475976,0.005782386379723899,0.643881629298859
6037,0.0019740598610795664,0.003471430092814007,1.0152838513534581,0.003647564695875469,1.066797669397218
6038,0.04857690551908591,0.06924732734335003,0.8230240822284801,0.06998111440231884,0.8317453490835098
6039,0.013285184468988158,0.024459103687688177,1.062948740470088,0.025677797098932698,1.115910968483113
6040,0.00320815592148996,0.00417022877400845,0.7504880573690772,0.004005854353739097,0.7209066972005462
6041,0.0036379814085669205,0.006021439360429438,0.9556067624387351,0.006322343708386753,1.0033604991357898
6042,0.0006564580807358666,0.00083195123214815,0.7316952626966602,0.0007235600758334702,0.6363660023638366
6043,0.004092666428915043,0.006477377287211106,0.9137601574349392,0.00676048008363084,0.9536973178559509
6044,0.012900718783163262,0.017518515084816937,0.7840120825842498,0.014186913101522192,0.6349117623448632
6045,0.035513700905732665,0.06256786023455567,1.017172810147998,0.06573002710520635,1.0685805161158655
6046,0.08870655107595807,0.13790477796817144,0.897558970749325,0.1443076745727794,0.939232489034331
6047,0.0051553308562684655,0.007053189365149633,0.7898931983508155,0.007160475309988173,0.801908250509394
6048,0.07233525486853577,0.13070969331598511,1.0432710406402834,0.13734884970563643,1.0962620577552937
6049,0.03728916348836188,0.049739542050512335,0.7701201986253932,0.049601471022549894,0.7679824369352902
6050,0.05373904639230117,0.07245581470362661,0.7784355497883475,0.07298309752574063,0.7841004601230832
6051,0.004462928090545445,0.007514169393786124,0.9720765457613841,0.007880880988259429,1.0195164850767056
6052,0.0009400686155388697,0.0013323346424075396,0.818263424317936,0.0013500138418647474,0.8291212387337753
6053,0.08578536142837595,0.14603817099784208,0.9828620633365437,0.15341557060975827,1.0325132343631467
6054,0.009421588569286833,0.016753586861872748,1.026651483819377,0.017603807112725443,1.0787525586105715
6055,0.003107624678576511,0.004097302585473275,0.7612176486376501,0.003969152536054031,0.7374092827050063
6056,0.007436234053494614,0.01306872685617875,1.014657811212203,0.013732487719081138,1.0661922989807986
6057,0.007557132805888241,0.012311334150635664,0.9405620184965756,0.012920718311580232,0.9871177848696515
6058,0.0380677808512838,0.06593021575040352,0.9999224267873728,0.06927693943240215,1.050680095752992
6059,0.008601787669528583,0.011477132001690548,0.7703428060860353,0.008882349118774033,0.5961814975887999
6060,0.020258529107345068,0.026072380981806486,0.743039936339839,0.02571513476551545,0.7328587332500341
6061,0.007993030561918982,0.011074941419602054,0.7999619619034047,0.008213248578129374,0.5932569931730445
6062,0.04671844378675013,0.08290624511017901,1.0245620156003197,0.08708806500041227,1.0762412806535246
6063,0.0030946308567809154,0.004852459444606977,0.905299822897073,0.0050399375216094435,0.9402766984062642
6064,0.022738605716563273,0.030250624529120092,0.7680860661707047,0.025182469698354904,0.6394018103147904
6065,0.0017422126660541926,0.003072352292430855,1.0181440289363286,0.003209764661555479,1.0636809888321408
6066,0.021122297500081835,0.031902441660602854,0.8720113557951747,0.022733918754761707,0.6214018201734873
6067,0.019765489162119065,0.029171798286666696,0.8521087161268519,0.030322105166964916,0.885709199350089
6068,0.009506918331383347,0.016104966737214628,0.9780463612826531,0.016920456389887352,1.0275706291979159
6069,0.024542370350488483,0.03927988383745372,0.9240448735563863,0.04114543235810678,0.9679312188931936
6070,0.015593742160938152,0.019637474102796496,0.7270673608965048,0.018945671242580647,0.7014537164326191
6071,0.030887434871080456,0.046022177435375636,0.860250022117728,0.03294886899693702,0.6158827518139537
6072,0.08415289668476139,0.11111673846131918,0.7623418965889609,0.11145249570251756,0.76464543623198
6073,0.03291766263982922,0.05970640889755945,1.047204099104002,0.06271247670264374,1.099928196663946
6074,0.0024027207383121854,0.0037909336289145903,0.9109242352780935,0.0026756652168943673,0.642936155085771
6075,0.005708202731660817,0.00829922252985792,0.8394162903678021,0.008585487288736442,0.8683702437166052
6076,0.003917348936431768,0.007147787194927381,1.0534616466564959,0.007499043580966484,1.1052308335032963
6077,0.007815063314083668,0.010723457584047401,0.7922125354552206,0.010364154071060516,0.7656684152598131
6078,0.0442353566406298,0.055799572484026276,0.7282839032143933,0.05405467114278396,0.7055098298128852
6079,0.004319739604618316,0.005798120679807453,0.774941742252668,0.005172073617547492,0.6912680783274788
6080,0.07851916495932358,0.13626581382431643,1.0019605319741836,0.1431872111404706,1.0528534650016819
6081,0.0032123027314030494,0.004124930623257405,0.7413777607087498,0.003996856060593824,0.7183587959930972
6082,0.04441312737598092,0.07567824636339567,0.9837824645812909,0.07946414268858117,1.0329973789908526
6083,0.015461239522321577,0.025989621636419918,0.9704988417170887,0.0273003908901984,1.0194453042838143
6084,0.0050394003630082765,0.006755456206992588,0.7739540775993499,0.006569878687154554,0.75269297046039
6085,0.008604128463786349,0.015053757869288564,1.010130333912343,0.0158183268318208,1.0614340886377538
6086,0.004247732193840321,0.006881008893664871,0.935264314170877,0.00719611631626138,0.9780936044739611
6087,0.03522814092998558,0.061134518889584766,1.0019271527222904,0.06423956129610733,1.05281536373558
6088,0.0005477049327395384,0.0009558377085885773,1.0075738328572705,0.001004295392707857,1.058654360525033
6089,0.0018502498432388884,0.0029565401572004407,0.9225560871506719,0.003099512990620852,0.9671691993547951
6090,0.004081660990256648,0.006489578440322697,0.9179497925945855,0.0067879072301950455,0.9601483503755897
6091,0.022004448145907646,0.03303232385784552,0.8666984486422055,0.03412661427069531,0.8954103190895428
6092,0.05748697022743202,0.10321203682684617,1.0365739751084304,0.10845384716545609,1.0892182629890477
6093,0.018331877947507784,0.031702599861384816,0.9984522380299764,0.033312209474748215,1.049145819245528
6094,0.0061209645972285925,0.008114590340158613,0.7653958527019313,0.0062474149493466375,0.5892774979253599
6095,0.06251826606194913,0.1130442132116933,1.043952608401337,0.1187858499836177,1.0969760804946744
6096,0.005091941459243573,0.006809212823371704,0.7720632469971709,0.006496057365383728,0.7365560854528554
