,Inf. Norm,Flat RKHS,FlatRK over norm,Tree RKHS,TreeRK over norm
6510,0.3063135747698265,0.44813173951196306,0.4223269906240102,6.692034150805177,0.04384686319506835
6511,0.26332250735256973,0.43289236749897786,0.47457113981341226,1.5397355583742138,0.011735586046887205
6512,0.3618351795122915,0.685116188508916,0.5465914292730569,2.548371341496293,0.014135089020637127
6513,0.27173235705551607,0.46334220961834893,0.4922320483817395,6.220819948126513,0.04594654927048497
6514,0.1742858539670191,0.37418684842653976,0.6197774310104425,1.3014407927072777,0.014986799632363238
6515,0.4372874078540697,0.7948843835850979,0.5247426573401786,4.10157369984225,0.01882479140597882
6516,0.21871078795273668,0.4422098156569752,0.5836702398123631,0.6114175527001584,0.005610664778884824
6517,0.3205639022597659,0.5238979843937182,0.4717821317144276,2.8998180904316677,0.01815527213892239
6518,0.43948963101415267,0.9081172374183472,0.5964893076878284,1.5334275318673287,0.007002631094214039
6519,0.2868244241756876,0.4778864975998576,0.48097001994217253,1.914643362876418,0.013397334002573215
6520,0.2879930047462158,0.5019711644876295,0.5031601152912568,1.5994102605745306,0.01114614178556228
6521,0.5093629998620376,0.8669347906296269,0.4913244924301879,1.1167491170299604,0.004400224629825154
6522,0.25563904421219485,0.49170058922859106,0.5552427807471095,4.176575903776076,0.03278987928927124
6523,0.3046190908210616,0.5442780122335125,0.5157901562079086,0.8512044501177566,0.005608198699394126
6524,0.2573862257882429,0.5064284924761211,0.567991984732193,1.7085066844610184,0.01332226306698139
6525,0.28818428925246814,0.49121676021812016,0.49205341741223774,4.572178848535267,0.0318419410293383
6526,0.15983406301047096,0.25693303505597553,0.46404487929321125,1.6267212256345291,0.02042633350567306
6527,0.18509577315226894,0.3029231800415496,0.47243860992139103,5.305352192278234,0.05752602195657382
6528,0.22269415600194137,0.4890392033480144,0.6339342728302104,1.6329641056223287,0.014716835744649152
6529,0.3318276896394329,0.7304265785114714,0.6354382031606398,2.059769885726067,0.012458125616210887
6530,0.24982468718531228,0.41479257666962754,0.47929731944471243,1.209099461368937,0.009713445323229162
6531,0.18513109967807187,0.37557358813616815,0.5856323237640606,3.371280755936634,0.03654787788291055
6532,0.31076855655854363,0.5621524566178433,0.5221874370883783,1.881769829447298,0.012152791725923966
