Inf. Norm,RKHS norm,RKHS/Inf
0.04199963282252585,0.16556740960788333,3.942115644379725
0.004006999652254757,0.015756703332327666,3.932294659287354
0.012531893790011432,0.05808800038726798,4.63521326948742
0.007325325898607991,0.03266858305458281,4.459676403037675
0.026303669523128972,0.10519449157463169,3.999232558869155
0.06387214759648882,0.2547229319270775,3.9880126395042357
0.004984014181675003,0.019286074307760432,3.869586563110232
0.20757392262194196,1.0412654024013763,5.016359421495595
0.024474162329744566,0.11585903113924458,4.733932445909939
0.057316545249149344,0.23935854557875721,4.176081174088377
0.005282833642464138,0.026225892716824406,4.964360888826235
0.003968034038842051,0.01575176370032436,3.969664460066232
0.07716499924057561,0.3689596285003168,4.78143759646805
0.0010848291256156267,0.004786954788094664,4.412634833507192
0.11615033077125882,0.4597329320012974,3.958085430739535
0.002797946973205495,0.013860177018582774,4.953695388552603
0.018057849279688655,0.06730396981379623,3.7271309983464795
0.015053419607487014,0.06070377530717493,4.032557179033469
0.001391671416124852,0.006301552958411147,4.52804655279764
0.00015174831956107655,0.0006589926736574205,4.342668673785117
0.007071792800401249,0.027767965813328202,3.926580797411466
0.001937570226441003,0.007296096858781192,3.765590923732823
0.06842286614690153,0.32775920464106145,4.790199871741323
0.10119447030546634,0.4179301419568751,4.12997015247284
0.06960574523072013,0.3162201447937183,4.543017875112932
0.09753382679032258,0.37141001245517324,3.8080123038095026
0.03722359091898998,0.1634267147733741,4.3904070171263445
0.01741351563228127,0.06994177662491596,4.016522458868531
0.0042412845714337845,0.018199084130406912,4.290936819703808
0.001967955069690889,0.008447205003030927,4.292376961816384
0.21729581955016447,1.0163192149682636,4.6771227217909646
0.017010189302368913,0.08297645916315087,4.878044429029088
0.07861562837851277,0.3127511761262719,3.9782315880051287
0.013720281340779891,0.053052733852744616,3.866738045309571
0.039964279605382166,0.1673072490970827,4.1864197415571756
0.10724946173527251,0.428774407142706,3.9979166347805495
0.0013934939597065937,0.006649080626363459,4.771517364713553
0.15533489421951807,0.6614635374983618,4.258306163736698
0.03260209541575914,0.16814299018210374,5.157428933258906
0.12084952058849853,0.4840599843620112,4.0054770759933
0.01590203056227118,0.05969932473176154,3.754195069490238
0.22687734322285905,1.0329259980874668,4.5527948424221245
0.051621066906609336,0.2109308800019968,4.086139489980013
0.30238235258557145,1.3905097392907397,4.598514851812452
0.026965141640755093,0.11089885615593108,4.112674712908559
0.14042227932026366,0.6293090492053485,4.48154703264766
0.031584775203719696,0.16295707444540275,5.159355208145079
0.043269714021034925,0.20380954818939823,4.710212507767425
0.0013020566145096244,0.005427004498531892,4.168024982981089
0.004123725102309801,0.016753834416157343,4.06279128712365
0.000636942450535545,0.004031286794555345,6.329122499475134
0.002048278514936978,0.00821798729809103,4.0121434844732935
0.1005589605686102,0.4098655956008736,4.075873430704637
0.007947359694354618,0.03536399207470473,4.449778723344488
0.04973531685186983,0.17926400487693822,3.6043603665148596
0.00901879116878845,0.04044762819097535,4.484817026360854
0.036469949442420053,0.167953084104253,4.605245871520135
0.04419977920052332,0.19046518543011953,4.3091886175726515
0.09680493101899602,0.4023743609333011,4.156548191272852
0.02796948317356437,0.09986357392020027,3.5704475946336864
0.0646699251529145,0.27612571203638053,4.269770088390713
0.05645632502232192,0.26120063833919976,4.626596545841856
0.08187199432172149,0.35759492386057873,4.367731931084829
0.020770337627373653,0.0948591489331417,4.567048963524063
0.013895732211407929,0.06735543718170199,4.847203166912316
0.012807130207269677,0.05823543223475786,4.547110187237875
0.03957137133888209,0.22002256760843514,5.560145129270389
0.13790466700813633,0.5795790507820137,4.202751533766574
0.00200990439767713,0.008894045547655874,4.425108755388976
0.03564107840689604,0.15133140235420964,4.245982700818873
0.020336473047007288,0.08896820351432617,4.374809894944823
0.03856935873792457,0.17149323675385336,4.446359554980806
0.00042980511382060985,0.001837727191300443,4.275722024255545
0.0023783539280190797,0.010569408320596732,4.444001456671314
0.04559841414539971,0.18092184272637815,3.967722257828364
0.012228350875808628,0.05026935522319934,4.1108859022558235
0.09932891105390332,0.4609545104640512,4.640688250512509
0.018503084756956556,0.09117880679186706,4.927762477961238
0.16979417121689572,0.6600594223188087,3.8874091942511164
0.016473940710635404,0.07366689392708292,4.471722657076478
0.11295209718855943,0.4863583714487173,4.305881728223272
0.03306684699601497,0.15627684090314228,4.726088366452837
0.11321319704989673,0.5572995300055388,4.922566843156269
0.055395819906940834,0.2326868325470659,4.200440266755783
0.07001264748413775,0.29866204199187946,4.2658298568061594
5.394724473399432e-05,0.00025355117243786225,4.699983728327269
0.016280098489161173,0.07218475336871462,4.433926085691262
0.027802456577745324,0.1114281384305041,4.0078522600660245
0.5634688825794788,2.4316453213457048,4.315491762764228
0.08356692866735657,0.40620447762319667,4.860828130229833
0.07384766404715128,0.3168928249942337,4.291169247979186
0.004143976598287054,0.015946073801703053,3.848012512496931
0.01243048812671859,0.0608055926906979,4.891649633613334
0.11127958151010084,0.5324393143036933,4.784699107224481
0.043239958577844476,0.19980139966246918,4.620758350236822
0.0694237963871151,0.2994919877259919,4.313967303890873
0.10510294512772218,0.4557202854273619,4.335942107745563
0.030847481679534536,0.15732871763882048,5.100212693965183
0.006627476412218625,0.028137840667498134,4.245634222948319
0.056329902377390974,0.25950592632191355,4.606894657535763
0.02494856393003211,0.11186559285523527,4.483848976997663
0.25570525681827727,1.0894559849641936,4.260592834579229
0.004696729405154431,0.020590547730726435,4.384018314559343
0.04480292481571999,0.1899396431058061,4.239447399629634
0.02398524006545882,0.09334243610398188,3.891661532227249
